"cell_type","ts_type"
"Mi1","Mi1"
"TmY15","TmY15"
"Tm1","Tm1"
"Tm4","Tm4"
"Mi4","Mi4"
"Mi9","Mi9"
"Tm5c","Tm5c"
"Tm3","Tm3"
"TmY3","TmY3"
"TmY5a","TmY5a"
"Tm2","Tm2"
"Dm10","Dm10"
"Tm20","Tm20"
"TmY14","TmY14"
"Dm11","Dm11"
"Dm1","Dm1"
"Dm4","Dm4"
"Dm12","Dm12"
"Dm9","Dm9"
"Lai","Lai"
"TmY4","TmY4"
"Dm15","Dm15"
"T1","T1"
"Mi15","Mi15"
"Dm2","Dm2"
"Pm01","Pm1"
"Pm05","Pm4"
"Tm9","Tm9v"
"Mi10","116"
"Tm27","67"
"Tm5e","41"
"Tm33","26"
"Tm25","71"
"Tm5a","Tm5ab"
"Tm5f","82"
"Tm8a","53"
"TmY10","52"
"TmY11","45"
"MTe01a","30"
"Dm8b","Dm8"
"DmDRA1","136"
"Sm03","38"
"Dm3p","225"
"Dm3q","226"
"Sm02","129"
"Li14","158"
"Tm21", "62"
"Li06", "69"
"Tm5d","55"