"cell_type","temporal_label","temporal_id","broad_temp","vDpp","vOptix","vVsx","dVsx","dOptix","dDpp","Confident_annotation","subsystem","Notch","newly_ann","func","ntype","putative_OPC","ozel2021_cluster","putative_hl1","putative_hl2","putative_hl3"
"Am1","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"C2","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,182,"N","N","N"
"C3","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,165,"N","N","N"
"CT1","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"Dm13","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"Dm14","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"Dm16","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"Dm17","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"Dm18","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"Dm19","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"Dm20","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Luminance","","","Luminance","intrinsic",TRUE,NA,"N","N","N"
"Dm6","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"L1","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,109,"N","N","N"
"L2","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,108,"N","N","N"
"L3","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Luminance","","","Luminance","",FALSE,110,"N","N","N"
"L4","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,107,"N","N","N"
"L5","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,117,"N","N","N"
"Lat","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"N","N","N"
"Lawf1","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,113,"N","N","N"
"Lawf2","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,8,"N","N","N"
"Li01","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li02","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li03","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li04","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li05","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li07","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li08","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li09","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li10","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li11","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li12","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li13","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li15","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"Li16","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"Li17","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"Li18","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li20","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"Li21","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"Li22","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"Li24","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"Li25","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"Li26","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"Li27","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li28","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li29","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li30","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"Li31","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"Li32","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"LLPt","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","N"
"LM102a_L234-M89","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Unannotated","","","Unannotated","",FALSE,NA,"N","N","N"
"LMa1","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"LMa2","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","projection",TRUE,NA,"N","Y","N"
"LMa3","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","projection",TRUE,NA,"N","Y","N"
"LMa4","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","projection",TRUE,NA,"N","Y","N"
"LMa5","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"LMt1","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"LMt2","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"LMt3","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"LMt4","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"LPi01","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"LPi02","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"LPi04","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"LPi05","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"LPi06","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"LPi07","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"LPi08","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"LPi10","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"LPi11","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"LPi12","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"LPi13","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"LPi14","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"LPi15","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","",FALSE,NA,"N","N","N"
"Mi13","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Motion","","","Motion","intrinsic",TRUE,NA,"N","N","N"
"Mi14","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","intrinsic",TRUE,NA,"N","N","N"
"Mi2","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","intrinsic",TRUE,NA,"N","N","N"
"MLt1","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","projection",TRUE,NA,"N","N","N"
"MLt2","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"N","N","N"
"MLt3","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","projection",TRUE,NA,"N","N","N"
"MLt4","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","projection",TRUE,NA,"N","N","N"
"MLt5","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"N","N","N"
"MLt6","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"N","N","N"
"MLt7","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"N","N","N"
"MLt8","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","projection",TRUE,NA,"N","N","N"
"PDt","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Object","","","Object","",FALSE,NA,"N","N","N"
"Pm13","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","Y"
"Pm14","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","",FALSE,NA,"N","N","Y"
"Sm04","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm05","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Luminance","","","Luminance","intrinsic",TRUE,NA,"N","N","N"
"Sm06","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm07","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm08","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm09","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm10","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm11","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm12","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm13","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm14","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm15","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm16","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm17","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Polarization","","","Polarization","intrinsic",TRUE,NA,"N","N","N"
"Sm18","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Polarization","","","Polarization","intrinsic",TRUE,NA,"N","N","N"
"Sm19","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm20","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm21","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm22","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm23","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Polarization","","","Polarization","intrinsic",TRUE,NA,"N","N","N"
"Sm24","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm25","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm26","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm27","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm28","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Polarization","","","Polarization","intrinsic",TRUE,NA,"N","N","N"
"Sm29","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm30","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Luminance","","","Luminance","intrinsic",TRUE,NA,"N","N","N"
"Sm31","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
"Sm32","unknown",0,"",NA,NA,NA,NA,NA,NA,"N","Color","","","Color","intrinsic",TRUE,NA,"N","N","N"
